Property ID,Category,Maintained By,Name,Ward Number,Address,Unique ID
1000230100929,HOSPITAL,PRIVATE,RASI HOSPITAL,23,D.B.ROAD,1000230400015
1000230100618,HOSPITAL,PRIVATE,VEDHANAYAGAM HOSPITAL,23,BASHIKARRALU ROAD,1000230400014
1000230100753,HOSPITAL,PRIVATE,EYE FOUNDATION,23,PERIYASAMY ROAD,1000230400013
1000230100814,HOSPITAL,PRIVATE,GATEWAY CLINIC,23,PERIYASAMY ROAD,1000230400012
1000230100338,COMMUNITY HALL,PRIVATE,SMT MANIBEN KIRTIAL MEHTA ARADHANA BHAVAN,23,PERIYASAMY ROAD,1000230400011
1000230100538,HOSPITAL,PRIVATE,R S ORTHODONIC DENTAL CARE,23,SAMBANDAM ROAD,1000230400010
1000230100045,HOSPITAL,PRIVATE,SRUTHI HOSPITAL,23,RAMACHANDIRA ROAD,1000230400009
1000230100164,MARRIAGE HALL,PRIVATE,KALAI ARANGAM,23,THIRU.VENKETASAMY ROAD,1000230400008
1000230100174,HOSPITAL,PRIVATE,SCAN CENTRE,23,VENKETACHALLAM ROAD,1000230400007
1000230100360,HOSPITAL,PRIVATE,RAO HOSPITAL,23,PERIYASAMY ROAD,1000230400006
1000230100556,HOSPITAL,PRIVATE,PRASATH CLINIC,23,D.B.ROAD,1000230400005
1000230100387,HOSPITAL,PRIVATE,MADURAI EYE HOSPITAL,23,PERIYASAMY ROAD,1000230400004
1000230100430,COMMUNITY HALL,PRIVATE,MEDITATION HALL,23,PERIYASAMY ROAD,1000230400003
1000230100619,COMMUNITY HALL,PRIVATE,BISHOP MANDAPAM,23,THADAGAM ROAD,1000230400002
1000230100482,DAILY MARKET,CORPORATION,DAILY MARKET,23,GOULIBROWN ROAD,1000230400001
1000240100680,HOSPITAL,PRIVATE,SHANMUGA NURSING HOME,24,VENKATAKRISHNA ROAD,1000240400001
1000240101046,HOSPITAL,PRIVATE,RAJALAKSHMI NETHRALAYA EYE FOUNDATION,24,SUBRAMANIAM ROAD,1000240400002
1000240100867,HOSPITAL,CORPORATION,CORPORATION HOSPITAL,24,LANGAR KANA ROAD 1,1000240400003
1000240100758,HOSPITAL,CORPORATION,CORPORATION HOSPITAL,24,METTUPALAYAM ROAD,1000240400004
1000240100868,HOSPITAL,CORPORATION,MUNICIPAL DISPENSARY,24,LANGAR KANA ROAD 1,1000240400005
1000240101030,PLAY GROUND,CORPORATION,CORPORATION PLAY GROUND,24,SUBRAMANIAM ROAD,1000240400006
1000240100748,HOSPITAL,PRIVATE,ARUN DENTAL CLINIC,24,RANGE GOWDA STREET,1000240400007
1000240100766,HOSPITAL,PRIVATE,SATHYAVATHY HOSPITAL,24,LANGAR KANA ROAD 2,1000240400008
1000240100345,COMMUNITY HALL,CORPORATION,SAMUDHAYA KOODAM,24,D B ROAD,1000240400009
1000240100404,HOSPITAL,PRIVATE,RAJARAMAN HOSPITAL,24,D B ROAD,1000240400010
1000240100746,HOSPITAL,STATE,R K BAI HOSPITAL,24,THADAGAM ROAD,1000240400011
1000240100731,PARK,CORPORATION,GANDHI PARK,24,SUBRAMANIAM ROAD,1000240400012
1000240100692,MARRIAGE HALL,PRIVATE,GOURAVA MAHAJANA SANGAM KALYANA MANDAPAM,24,SUBRAMANIAM ROAD,1000240400013
1000240100595,HOSPITAL,PRIVATE,G S DENTAL CARE,24,RAMALINGAM ROAD,1000240400014
1000240100299,HOSPITAL,PRIVATE,ANNAI SARADHA HOSPITAL,24,THADAGAM ROAD,1000240400015
1000240100177,COMMUNITY HALL,CORPORATION,CORPORATION COMMUNITY HALL,24,V.O.C STREET,1000240400016
1000240100150,HOSPITAL,PRIVATE,K M POLYCLINIC,24,AROKYASAMY STREET,1000240400017
1000240100732,HEALTH CENTRE,CORPORATION,CORPORATION YOGA NILAYAM,24,THADAGAM ROAD,1000240400018
